P001;lapte zuzu;lactate;Zuzu;1;l;2025-05-01;2025-05-07;10
P002;iaurt grecesc;lactate;Lidl;0.4;kg;2025-05-05;2025-05-11;11
P005;ouă mărimea M;ouă;Lidl;10;buc;2025-05-04;2025-05-10;7
P008;brânză telemea;lactate;Pilos;0.3;kg;2025-05-01;2025-05-07;15
P011;pâine albă;panificație;Lidl;500;g;2025-05-02;2025-05-08;5
P014;roșii cherry;legume și fructe;Lidl;250;g;2025-05-02;2025-05-08;8
P014;roșii cherry;legume și fructe;Lidl;250;g;2025-05-06;2025-05-12;5
P017;piept pui;carne;Lidl;1;kg;2025-05-02;2025-05-08;6
P020;spaghetti nr.5;paste făinoase;Barilla;500;g;2025-05-03;2025-05-09;20
P024;apă plată;băuturi;Aqua Carpatica;2;l;2025-05-01;2025-05-07;5
P026;banane;legume și fructe;Lidl;1;kg;2025-05-06;2025-05-12;6
P028;ulei floarea-soarelui;alimente de bază;Bunica;1;l;2025-05-05;2025-05-11;10
P031;biscuiți cu unt;gustări;Deluxe;0.2;kg;2025-05-04;2025-05-10;9
P034;cafea măcinată;cafea;Davidoff;0.25;kg;2025-05-04;2025-05-10;12
P037;detergent lichid;produse de menaj;Persil;2.5;l;2025-05-06;2025-05-12;25
P040;șampon păr gras;îngrijire personală;Head & Shoulders;400;ml;2025-05-05;2025-05-11;15
P043;hârtie igienică 3 straturi;produse de menaj;Zewa;10;role;2025-05-03;2025-05-09;14
P046;piper negru măcinat;condimente;Kotanyi;50;g;2025-05-06;2025-05-12;12
P049;vin alb demisec;băuturi;Jidvei;0.75;l;2025-05-01;2025-05-07;10
P052;ciocolată neagră 70%;gustări;Fin Carre;100;g;2025-05-03;2025-05-09;18
