P003;iaurt grecesc;lactate;Olympus;0.4;kg;2025-05-01;2025-05-07;10
P009;brânză telemea;lactate;Hochland;0.3;kg;2025-05-01;2025-05-07;10
P018;piept pui;carne;Agricola;1;kg;2025-05-02;2025-05-08;12
P020;spaghetti nr.5;paste făinoase;Barilla;500;g;2025-05-03;2025-05-09;18
P035;cafea măcinată;cafea;Jacobs;0.25;kg;2025-05-04;2025-05-10;10
P038;detergent lichid;produse de menaj;Ariel;2.5;l;2025-05-01;2025-05-07;22
P041;șampon păr gras;îngrijire personală;Elseve;400;ml;2025-05-02;2025-05-08;12
P050;vin alb demisec;băuturi;Recas;0.75;l;2025-05-03;2025-05-09;8
P053;ciocolată neagră 70%;gustări;Heidi;100;g;2025-05-04;2025-05-10;15
P056;cartofi albi;legume și fructe;Generic;1;kg;2025-05-01;2025-05-07;5
P060;suc portocale;băuturi;Cappy;1;l;2025-05-02;2025-05-08;7
P062;cașcaval;lactate;Delaco;0.25;kg;2025-05-03;2025-05-09;10
